movie,director,m_year,critic,crit_org,crit_cn
Making Of,Nouri Bouzid,2006,Hans-Christian Mahnke,AfricAvenir.org,Namibia
House of Flying Daggers,Zhang Yimou,2004,Hans-Christian Mahnke,AfricAvenir.org,Namibia
City of God,Fernando Meirelles and Kátia Lund,2002,Hans-Christian Mahnke,AfricAvenir.org,Namibia
Miners Shot Down,Rehad Desai,2014,Hans-Christian Mahnke,AfricAvenir.org,Namibia
678,Mohamed Diab,2010,Hans-Christian Mahnke,AfricAvenir.org,Namibia
Hijack Stories,Oliver Schmitz,2000,Hans-Christian Mahnke,AfricAvenir.org,Namibia
Waltz with Bashir,Ari Folman,2008,Hans-Christian Mahnke,AfricAvenir.org,Namibia
No Country For Old Men,Joel and Ethan Coen,2007,Ben Mankiewicz,Turner Classic Movies,US
Spotlight,Tom McCarthy,2015,Ben Mankiewicz,Turner Classic Movies,US
United 93,Paul Greengrass,2006,Ben Mankiewicz,Turner Classic Movies,US
The Gatekeepers,Dror Moreh,2012,Ben Mankiewicz,Turner Classic Movies,US
Sexy Beast,Jonathan Glazer,2000,Ben Mankiewicz,Turner Classic Movies,US
A Separation,Asghar Farhadi,2011,Ben Mankiewicz,Turner Classic Movies,US
Memento,Christopher Nolan,2000,Ben Mankiewicz,Turner Classic Movies,US
Letters From Iwo Jima,Clint Eastwood,2006,Ben Mankiewicz,Turner Classic Movies,US
Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,Ben Mankiewicz,Turner Classic Movies,US
The Wrestler,Darren Aronofsky,2008,Ben Mankiewicz,Turner Classic Movies,US
Los Angeles Plays Itself,Thom Andersen,2003,Calum Marsh,Freelance film critic,Canada
Mulholland Drive,David Lynch,2001,Calum Marsh,Freelance film critic,Canada
Goodbye to Language,Jean-Luc Godard,2014,Calum Marsh,Freelance film critic,Canada
Millennium Mambo,Hou Hsiao-hsien,2001,Calum Marsh,Freelance film critic,Canada
Margaret,Kenneth Lonergan,2011,Calum Marsh,Freelance film critic,Canada
Crank,Mark Neveldine and Brian Taylor,2006,Calum Marsh,Freelance film critic,Canada
The Forest for the Trees,Maren Ade,2003,Calum Marsh,Freelance film critic,Canada
Miami Vice,Michael Mann,2006,Calum Marsh,Freelance film critic,Canada
Woman on the Beach,Hong Sang-soo,2006,Calum Marsh,Freelance film critic,Canada
The Son,Jean-Pierre and Luc Dardenne,2002,Calum Marsh,Freelance film critic,Canada
Yi Yi: A One and a Two,Edward Yang,2000,Lee Marshall,Screen International,Italy
The White Ribbon,Michael Haneke,2009,Lee Marshall,Screen International,Italy
Fish Tank,Andrea Arnold,2009,Lee Marshall,Screen International,Italy
Spirited Away,Hayao Miyazaki,2001,Lee Marshall,Screen International,Italy
Timbuktu,Abderrahmane Sissako,2014,Lee Marshall,Screen International,Italy
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Lee Marshall,Screen International,Italy
No Country For Old Men,Joel and Ethan Coen,2007,Lee Marshall,Screen International,Italy
Silent Souls,Aleksey Fedorchenko,2010,Lee Marshall,Screen International,Italy
A Separation,Asghar Farhadi,2011,Lee Marshall,Screen International,Italy
Nostalgia for the Light,Patricio Guzmán,2010,Lee Marshall,Screen International,Italy
Holy Motors,Leos Carax,2012,Adrian Martin,Lola Magazine,Australia
Lifeline,Víctor Erice,2002,Adrian Martin,Lola Magazine,Australia
Certified Copy,Abbas Kiarostami,2010,Adrian Martin,Lola Magazine,Australia
Kung Fu Hustle,Stephen Chow,2004,Adrian Martin,Lola Magazine,Australia
Instructions for a Light and Sound Machine,Peter Tscherkassky,2005,Adrian Martin,Lola Magazine,Australia
Un lac,Philippe Grandrieux,2008,Adrian Martin,Lola Magazine,Australia
Detention,Joseph Kahn,2011,Adrian Martin,Lola Magazine,Australia
A Vingança de Uma Mulher,Rita Azevedo Gomes,2012,Adrian Martin,Lola Magazine,Australia
Mia Madre,Nanni Moretti,2015,Adrian Martin,Lola Magazine,Australia
Femme Fatale,Brian De Palma,2002,Adrian Martin,Lola Magazine,Australia
The Wolf of Wall Street,Martin Scorsese,2013,Antonio Martínez,El Mercurio,Chile
No Country For Old Men,Joel and Ethan Coen,2007,Antonio Martínez,El Mercurio,Chile
Spirited Away,Hayao Miyazaki,2001,Antonio Martínez,El Mercurio,Chile
Million Dollar Baby,Clint Eastwood,2004,Antonio Martínez,El Mercurio,Chile
The Ghost Writer,Roman Polanski,2010,Antonio Martínez,El Mercurio,Chile
The Son's Room,Nanni Moretti,2001,Antonio Martínez,El Mercurio,Chile
A History of Violence,David Cronenberg,2005,Antonio Martínez,El Mercurio,Chile
Talk to Her,Pedro Almodóvar,2002,Antonio Martínez,El Mercurio,Chile
Before the Devil Knows You're Dead,Sidney Lumet,2007,Antonio Martínez,El Mercurio,Chile
Match Point,Woody Allen,2005,Antonio Martínez,El Mercurio,Chile
Carlos,Olivier Assayas,2010,Todd McCarthy,The Hollywood Reporter,US
Zodiac,David Fincher,2007,Todd McCarthy,The Hollywood Reporter,US
Leviathan,Andrey Zvyagintsev,2014,Todd McCarthy,The Hollywood Reporter,US
Mulholland Drive,David Lynch,2001,Todd McCarthy,The Hollywood Reporter,US
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,Todd McCarthy,The Hollywood Reporter,US
The Incredibles,Brad Bird,2004,Todd McCarthy,The Hollywood Reporter,US
Children of Men,Alfonso Cuarón,2006,Todd McCarthy,The Hollywood Reporter,US
Fantastic Mr Fox,Wes Anderson,2009,Todd McCarthy,The Hollywood Reporter,US
Grizzly Man,Werner Herzog,2005,Todd McCarthy,The Hollywood Reporter,US
Brokeback Mountain,Ang Lee,2005,Todd McCarthy,The Hollywood Reporter,US
You Ain’t Seen Nothin’ Yet,Alain Resnais,2012,Joe McElhaney,Hunter College,US
No Home Movie,Chantal Akerman,2015,Joe McElhaney,Hunter College,US
The Romance of Astrea and Celadon,Éric Rohmer,2009,Joe McElhaney,Hunter College,US
The Strange Case of Angelica,Manoel de Oliveira,2010,Joe McElhaney,Hunter College,US
Michelangelo Eye to Eye,Michelangelo Antonioni,2004,Joe McElhaney,Hunter College,US
Warming by the Devil's Fire,Charles Burnett,2003,Joe McElhaney,Hunter College,US
The New World,Terrence Malick,2005,Joe McElhaney,Hunter College,US
Café Lumière,Hou Hsiao-hsien,2003,Joe McElhaney,Hunter College,US
You Will Meet a Tall Dark Stranger,Woody Allen,2010,Joe McElhaney,Hunter College,US
The Hateful Eight,Quentin Tarantino,2015,Joe McElhaney,Hunter College,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Drew McWeeny,HitFix,US
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Drew McWeeny,HitFix,US
Holy Motors,Leos Carax,2012,Drew McWeeny,HitFix,US
City of God,Fernando Meirelles and Kátia Lund,2002,Drew McWeeny,HitFix,US
Enter the Void,Gaspar Noé,2009,Drew McWeeny,HitFix,US
Hedwig and the Angry Inch,John Cameron Mitchell,2001,Drew McWeeny,HitFix,US
Melancholia,Lars von Trier,2011,Drew McWeeny,HitFix,US
Mad Max: Fury Road,George Miller,2015,Drew McWeeny,HitFix,US
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,Drew McWeeny,HitFix,US
Grizzly Man,Werner Herzog,2005,Drew McWeeny,HitFix,US
Inherent Vice,Paul Thomas Anderson,2014,Kim Morgan,Sight & Sound/Criterion,US
Mulholland Drive,David Lynch,2001,Kim Morgan,Sight & Sound/Criterion,US
Melancholia,Lars von Trier,2011,Kim Morgan,Sight & Sound/Criterion,US
There Will Be Blood,Paul Thomas Anderson,2007,Kim Morgan,Sight & Sound/Criterion,US
Under the Skin,Jonathan Glazer,2013,Kim Morgan,Sight & Sound/Criterion,US
Fat Girl,Catherine Breillat,2001,Kim Morgan,Sight & Sound/Criterion,US
A Serious Man,Joel and Ethan Coen,2009,Kim Morgan,Sight & Sound/Criterion,US
Battle Royale,Kinji Fukasaku,2000,Kim Morgan,Sight & Sound/Criterion,US
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,Kim Morgan,Sight & Sound/Criterion,US
Bad Lieutenant: Port of Call New Orleans,Werner Herzog,2009,Kim Morgan,Sight & Sound/Criterion,US
Mulholland Drive,David Lynch,2001,Kate Muir,The Times,UK
The Tree of Life,Terrence Malick,2011,Kate Muir,The Times,UK
Night Will Fall,André Singer,2014,Kate Muir,The Times,UK
12 Years a Slave,Steve McQueen,2013,Kate Muir,The Times,UK
We Need to Talk About Kevin,Lynne Ramsay,2011,Kate Muir,The Times,UK
Boyhood,Richard Linklater,2014,Kate Muir,The Times,UK
Amour,Michael Haneke,2012,Kate Muir,The Times,UK
The Lives of Others,Florian Henckel von Donnersmarck,2006,Kate Muir,The Times,UK
Nostalgia for the Light,Patricio Guzmán,2010,Kate Muir,The Times,UK
Red Road,Andrea Arnold,2006,Kate Muir,The Times,UK
Before Midnight,Richard Linklater,2013,Chris Nashawaty,Entertainment Weekly,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Chris Nashawaty,Entertainment Weekly,US
Munich,Steven Spielberg,2005,Chris Nashawaty,Entertainment Weekly,US
The Social Network,David Fincher,2010,Chris Nashawaty,Entertainment Weekly,US
The Grand Budapest Hotel,Wes Anderson,2014,Chris Nashawaty,Entertainment Weekly,US
Sexy Beast,Jonathan Glazer,2000,Chris Nashawaty,Entertainment Weekly,US
The Lobster,Yorgos Lanthimos,2015,Chris Nashawaty,Entertainment Weekly,US
Inglourious Basterds,Quentin Tarantino,2009,Chris Nashawaty,Entertainment Weekly,US
Best in Show,Christopher Guest,2000,Chris Nashawaty,Entertainment Weekly,US
Gladiator,Ridley Scott,2000,Chris Nashawaty,Entertainment Weekly,US
Yi Yi: A One and a Two,Edward Yang,2000,Farran Smith Nehme,The New York Post/Film Comment,US
A Separation,Asghar Farhadi,2011,Farran Smith Nehme,The New York Post/Film Comment,US
25th Hour,Spike Lee,2002,Farran Smith Nehme,The New York Post/Film Comment,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Farran Smith Nehme,The New York Post/Film Comment,US
WALL-E,Andrew Stanton,2008,Farran Smith Nehme,The New York Post/Film Comment,US
Phoenix,Christian Petzold,2014,Farran Smith Nehme,The New York Post/Film Comment,US
Selma,Ava DuVernay,2014,Farran Smith Nehme,The New York Post/Film Comment,US
Timbuktu,Abderrahmane Sissako,2014,Farran Smith Nehme,The New York Post/Film Comment,US
About Elly,Asghar Farhadi,2009,Farran Smith Nehme,The New York Post/Film Comment,US
I’m Going Home,Manoel de Oliveira,2001,Farran Smith Nehme,The New York Post/Film Comment,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Joe Neumaier,WOR-710AM New York,US
There Will Be Blood,Paul Thomas Anderson,2007,Joe Neumaier,WOR-710AM New York,US
Inside Out,Pete Docter,2015,Joe Neumaier,WOR-710AM New York,US
Carol,Todd Haynes,2015,Joe Neumaier,WOR-710AM New York,US
Brooklyn,John Crowley,2015,Joe Neumaier,WOR-710AM New York,US
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Joe Neumaier,WOR-710AM New York,US
Boyhood,Richard Linklater,2014,Joe Neumaier,WOR-710AM New York,US
Fruitvale Station,Ryan Coogler,2013,Joe Neumaier,WOR-710AM New York,US
Blue Valentine,Derek Cianfrance,2010,Joe Neumaier,WOR-710AM New York,US
Her,Spike Jonze,2013,Joe Neumaier,WOR-710AM New York,US
Good Bye Lenin!,Wolfgang Becker,2003,Chris Newbould,The National,UAE
Lost in Translation,Sofia Coppola,2003,Chris Newbould,The National,UAE
Spotlight,Tom McCarthy,2015,Chris Newbould,The National,UAE
Pan's Labyrinth,Guillermo Del Toro,2006,Chris Newbould,The National,UAE
Mad Max: Fury Road,George Miller,2015,Chris Newbould,The National,UAE
The Baader Meinhof Complex,Uli Edel,2008,Chris Newbould,The National,UAE
Boyhood,Richard Linklater,2014,Chris Newbould,The National,UAE
No Man's Land,Danis Tanovic,2001,Chris Newbould,The National,UAE
Che,Steven Soderbergh,2008,Chris Newbould,The National,UAE
Ghost World,Terry Zwigoff,2001,Chris Newbould,The National,UAE
"Synecdoche, New York",Charlie Kaufman,2008,Amy Nicholson,MTV News,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Amy Nicholson,MTV News,US
Django Unchained,Quentin Tarantino,2012,Amy Nicholson,MTV News,US
The Grand Budapest Hotel,Wes Anderson,2014,Amy Nicholson,MTV News,US
Alpha Dog,Nick Cassavetes,2006,Amy Nicholson,MTV News,US
Her,Spike Jonze,2013,Amy Nicholson,MTV News,US
Young Adult,Jason Reitman,2011,Amy Nicholson,MTV News,US
The Dark Knight,Christopher Nolan,2008,Amy Nicholson,MTV News,US
Tropic Thunder,Ben Stiller,2008,Amy Nicholson,MTV News,US
Children of Men,Alfonso Cuarón,2006,Amy Nicholson,MTV News,US
Memento,Christopher Nolan,2000,Ong Soh Chin,Freelance,Singapore
Oldboy,Park Chan-wook,2003,Ong Soh Chin,Freelance,Singapore
The Circle,Jafar Panahi,2000,Ong Soh Chin,Freelance,Singapore
The Lives of Others,Florian Henckel von Donnersmarck,2006,Ong Soh Chin,Freelance,Singapore
Dirty Pretty Things,Stephen Frears,2002,Ong Soh Chin,Freelance,Singapore
We Need to Talk About Kevin,Lynne Ramsay,2011,Ong Soh Chin,Freelance,Singapore
The Imposter,Bart Layton,2012,Ong Soh Chin,Freelance,Singapore
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,Ong Soh Chin,Freelance,Singapore
Mother,Bong Joon-ho,2009,Ong Soh Chin,Freelance,Singapore
Bone Tomahawk,S. Craig Zahler,2015,Ong Soh Chin,Freelance,Singapore
Boyhood,Richard Linklater,2014,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
Melancholia,Lars von Trier,2011,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
The Great Beauty,Paolo Sorrentino,2013,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
The White Ribbon,Michael Haneke,2009,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
A Separation,Asghar Farhadi,2011,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
Winter Sleep,Nuri Bilge Ceylan,2014,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
Spirited Away,Hayao Miyazaki,2001,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
The Artist,Michel Hazanavicius,2011,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
Spring Breakers,Harmony Korine,2012,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
The Queen,Stephen Frears,2006,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
Caché,Michael Haneke,2005,Matthew Patches,Thrillist,US
Spirited Away,Hayao Miyazaki,2001,Matthew Patches,Thrillist,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Matthew Patches,Thrillist,US
The Tree of Life,Terrence Malick,2011,Matthew Patches,Thrillist,US
The Grand Budapest Hotel,Wes Anderson,2014,Matthew Patches,Thrillist,US
The Comedy,Rick Alverson,2012,Matthew Patches,Thrillist,US
Zero Dark Thirty,Kathryn Bigelow,2012,Matthew Patches,Thrillist,US
No Country For Old Men,Joel and Ethan Coen,2007,Matthew Patches,Thrillist,US
Memories of Murder,Bong Joon-ho,2003,Matthew Patches,Thrillist,US
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,Matthew Patches,Thrillist,US
There Will Be Blood,Paul Thomas Anderson,2007,Steve Persall,Tampa Bay Times,US
Pan's Labyrinth,Guillermo Del Toro,2006,Steve Persall,Tampa Bay Times,US
Children of Men,Alfonso Cuarón,2006,Steve Persall,Tampa Bay Times,US
Brokeback Mountain,Ang Lee,2005,Steve Persall,Tampa Bay Times,US
The Dark Knight,Christopher Nolan,2008,Steve Persall,Tampa Bay Times,US
Almost Famous,Cameron Crowe,2000,Steve Persall,Tampa Bay Times,US
A Serious Man,Joel and Ethan Coen,2009,Steve Persall,Tampa Bay Times,US
Kill Bill: Vol. 1,Quentin Tarantino,2003,Steve Persall,Tampa Bay Times,US
Donnie Darko,Richard Kelly,2001,Steve Persall,Tampa Bay Times,US
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,Steve Persall,Tampa Bay Times,US
There Will Be Blood,Paul Thomas Anderson,2007,Michael Phillips,Chicago Tribune,US
Ratatouille,Brad Bird and Jan Pinkava,2007,Michael Phillips,Chicago Tribune,US
Climates,Nuri Bilge Ceylan,2006,Michael Phillips,Chicago Tribune,US
Mulholland Drive,David Lynch,2001,Michael Phillips,Chicago Tribune,US
Y Tu Mamá También,Alfonso Cuarón,2001,Michael Phillips,Chicago Tribune,US
Her,Spike Jonze,2013,Michael Phillips,Chicago Tribune,US
Boyhood,Richard Linklater,2014,Michael Phillips,Chicago Tribune,US
Poetry,Lee Chang-dong,2010,Michael Phillips,Chicago Tribune,US
The Grand Budapest Hotel,Wes Anderson,2014,Michael Phillips,Chicago Tribune,US
Zodiac,David Fincher,2007,Michael Phillips,Chicago Tribune,US
Yi Yi: A One and a Two,Edward Yang,2000,Keith Phipps,Uproxx,US
Y Tu Mamá También,Alfonso Cuarón,2001,Keith Phipps,Uproxx,US
Mulholland Drive,David Lynch,2001,Keith Phipps,Uproxx,US
Waking Life,Richard Linklater,2001,Keith Phipps,Uproxx,US
In the Mood for Love,Wong Kar-wai,2000,Keith Phipps,Uproxx,US
Moonrise Kingdom,Wes Anderson,2012,Keith Phipps,Uproxx,US
25th Hour,Spike Lee,2002,Keith Phipps,Uproxx,US
Certified Copy,Abbas Kiarostami,2010,Keith Phipps,Uproxx,US
AI: Artificial Intelligence,Steven Spielberg,2001,Keith Phipps,Uproxx,US
Only Lovers Left Alive,Jim Jarmusch,2013,Keith Phipps,Uproxx,US
Melancholia,Lars von Trier,2011,Hannah Pilarczyk,Der Spiegel,Germany
Spirited Away,Hayao Miyazaki,2001,Hannah Pilarczyk,Der Spiegel,Germany
Beyond the Hills,Cristian Mungiu,2012,Hannah Pilarczyk,Der Spiegel,Germany
Let the Right One In,Tomas Alfredson,2008,Hannah Pilarczyk,Der Spiegel,Germany
Stories We Tell,Sarah Polley,2012,Hannah Pilarczyk,Der Spiegel,Germany
Carol,Todd Haynes,2015,Hannah Pilarczyk,Der Spiegel,Germany
The Death of Mr Lazarescu,Cristi Puiu,2005,Hannah Pilarczyk,Der Spiegel,Germany
The Master,Paul Thomas Anderson,2012,Hannah Pilarczyk,Der Spiegel,Germany
Caché,Michael Haneke,2005,Hannah Pilarczyk,Der Spiegel,Germany
All Divided Selves,Luke Fowler,2011,Hannah Pilarczyk,Der Spiegel,Germany
The White Ribbon,Michael Haneke,2009,Agnès C Poirier,Marianne,France
Winter Sleep,Nuri Bilge Ceylan,2014,Agnès C Poirier,Marianne,France
Timbuktu,Abderrahmane Sissako,2014,Agnès C Poirier,Marianne,France
Mia Madre,Nanni Moretti,2015,Agnès C Poirier,Marianne,France
The Return,Andrey Zvyagintsev,2003,Agnès C Poirier,Marianne,France
Oasis,Lee Chang-dong,2002,Agnès C Poirier,Marianne,France
Bad Education,Pedro Almodóvar,2004,Agnès C Poirier,Marianne,France
The Artist,Michel Hazanavicius,2011,Agnès C Poirier,Marianne,France
Oldboy,Park Chan-wook,2003,Agnès C Poirier,Marianne,France
The House of Mirth,Terence Davies,2000,Agnès C Poirier,Marianne,France
Boyhood,Richard Linklater,2014,Claudia Puig,Freelance film critic,US
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Claudia Puig,Freelance film critic,US
Locke,Steven Knight,2013,Claudia Puig,Freelance film critic,US
The Hurt Locker,Kathryn Bigelow,2008,Claudia Puig,Freelance film critic,US
Pan's Labyrinth,Guillermo Del Toro,2006,Claudia Puig,Freelance film critic,US
The Lives of Others,Florian Henckel von Donnersmarck,2006,Claudia Puig,Freelance film critic,US
Sin Nombre,Cary Joji Fukunaga,2009,Claudia Puig,Freelance film critic,US
Nebraska,Alexander Payne,2013,Claudia Puig,Freelance film critic,US
Fruitvale Station,Ryan Coogler,2013,Claudia Puig,Freelance film critic,US
Man on Wire,James Marsh,2008,Claudia Puig,Freelance film critic,US
A Separation,Asghar Farhadi,2011,Zakir Hossein Raju,Independent University,Bangladesh
Babel,Alejandro González Iñárritu,2006,Zakir Hossein Raju,Independent University,Bangladesh
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,Zakir Hossein Raju,Independent University,Bangladesh
In the Mood for Love,Wong Kar-wai,2000,Zakir Hossein Raju,Independent University,Bangladesh
Spirited Away,Hayao Miyazaki,2001,Zakir Hossein Raju,Independent University,Bangladesh
Brokeback Mountain,Ang Lee,2005,Zakir Hossein Raju,Independent University,Bangladesh
Oldboy,Park Chan-wook,2003,Zakir Hossein Raju,Independent University,Bangladesh
Ten,Abbas Kiarostami,2002,Zakir Hossein Raju,Independent University,Bangladesh
Russian Ark,Aleksandr Sokurov,2002,Zakir Hossein Raju,Independent University,Bangladesh
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Zakir Hossein Raju,Independent University,Bangladesh
Goodbye to Language,Jean-Luc Godard,2014,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
Colossal Youth,Pedro Costa,2006,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
Holy Motors,Leos Carax,2012,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
Leviathan,Andrey Zvyagintsev,2014,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
Tabu,Miguel Gomes,2012,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
The Sky Trembles and the Earth Is Afraid and the Two Eyes Are Not Brothers,Ben Rivers,2015,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
From What Is Before,Lav Diaz,2014,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
Lost and Beautiful,Pietro Marcello,2015,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
The Tree of Life,Terrence Malick,2011,Jordan Raup,The Film Stage,US
In the Mood for Love,Wong Kar-wai,2000,Jordan Raup,The Film Stage,US
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,Jordan Raup,The Film Stage,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Jordan Raup,The Film Stage,US
Zodiac,David Fincher,2007,Jordan Raup,The Film Stage,US
Inherent Vice,Paul Thomas Anderson,2014,Jordan Raup,The Film Stage,US
Children of Men,Alfonso Cuarón,2006,Jordan Raup,The Film Stage,US
Lost in Translation,Sofia Coppola,2003,Jordan Raup,The Film Stage,US
25th Hour,Spike Lee,2002,Jordan Raup,The Film Stage,US
Carol,Todd Haynes,2015,Jordan Raup,The Film Stage,US
Mulholland Drive,David Lynch,2001,Isabelle Regnier,Le Monde,France
The Captive,Chantal Akerman,2000,Isabelle Regnier,Le Monde,France
Tie Xi Qu: West of the Tracks,Wang Bing,2002,Isabelle Regnier,Le Monde,France
The Yards,James Gray,2000,Isabelle Regnier,Le Monde,France
Platform,Jia Zhangke,2000,Isabelle Regnier,Le Monde,France
Shara,Naomi Kawase,2003,Isabelle Regnier,Le Monde,France
Ten,Abbas Kiarostami,2002,Isabelle Regnier,Le Monde,France
Twixt,Francis Ford Coppola,2011,Isabelle Regnier,Le Monde,France
To Die Like a Man,João Pedro Rodrigues,2009,Isabelle Regnier,Le Monde,France
Spring Breakers,Harmony Korine,2012,Isabelle Regnier,Le Monde,France
The Diving Bell and the Butterfly,Julian Schnabel,2007,Mauricio Reina,El Tiempo,Colombia
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Mauricio Reina,El Tiempo,Colombia
Let the Right One In,Tomas Alfredson,2008,Mauricio Reina,El Tiempo,Colombia
The Act of Killing,Joshua Oppenheimer,2012,Mauricio Reina,El Tiempo,Colombia
Pan's Labyrinth,Guillermo Del Toro,2006,Mauricio Reina,El Tiempo,Colombia
There Will Be Blood,Paul Thomas Anderson,2007,Mauricio Reina,El Tiempo,Colombia
A Separation,Asghar Farhadi,2011,Mauricio Reina,El Tiempo,Colombia
A Prophet,Jacques Audiard,2009,Mauricio Reina,El Tiempo,Colombia
WALL-E,Andrew Stanton,2008,Mauricio Reina,El Tiempo,Colombia
District 9,Neill Blomkamp,2009,Mauricio Reina,El Tiempo,Colombia
Certified Copy,Abbas Kiarostami,2010,Scott Renshaw,Salt Lake City Weekly,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Scott Renshaw,Salt Lake City Weekly,US
The Master,Paul Thomas Anderson,2012,Scott Renshaw,Salt Lake City Weekly,US
In the Mood for Love,Wong Kar-wai,2000,Scott Renshaw,Salt Lake City Weekly,US
It's Such a Beautiful Day,Don Hertzfeldt,2012,Scott Renshaw,Salt Lake City Weekly,US
The Deep Blue Sea,Terence Davies,2011,Scott Renshaw,Salt Lake City Weekly,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Scott Renshaw,Salt Lake City Weekly,US
Sita Sings the Blues,Nina Paley,2008,Scott Renshaw,Salt Lake City Weekly,US
The Babadook,Jennifer Kent,2014,Scott Renshaw,Salt Lake City Weekly,US
Holy Motors,Leos Carax,2012,Scott Renshaw,Salt Lake City Weekly,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Katey Rich,Vanity Fair,US
WALL-E,Andrew Stanton,2008,Katey Rich,Vanity Fair,US
In the Mood for Love,Wong Kar-wai,2000,Katey Rich,Vanity Fair,US
There Will Be Blood,Paul Thomas Anderson,2007,Katey Rich,Vanity Fair,US
Take This Waltz,Sarah Polley,2011,Katey Rich,Vanity Fair,US
The Diving Bell and the Butterfly,Julian Schnabel,2007,Katey Rich,Vanity Fair,US
Son of Saul,László Nemes,2015,Katey Rich,Vanity Fair,US
Man on Wire,James Marsch,2008,Katey Rich,Vanity Fair,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Katey Rich,Vanity Fair,US
Avatar,James Cameron,2009,Katey Rich,Vanity Fair,US
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Carrie Rickey,Freelance film critic,US
Bend It Like Beckham,Gurinder Chadha,2002,Carrie Rickey,Freelance film critic,US
Her,Spike Jonze,2013,Carrie Rickey,Freelance film critic,US
Ida,Paweł Pawlikowski,2013,Carrie Rickey,Freelance film critic,US
The Namesake,Mira Nair,2006,Carrie Rickey,Freelance film critic,US
The New World,Terrence Malick,2005,Carrie Rickey,Freelance film critic,US
Pan's Labyrinth,Guillermo Del Toro,2006,Carrie Rickey,Freelance film critic,US
Paradise Now,Hany Abu-Assad,2005,Carrie Rickey,Freelance film critic,US
Selma,Ava DuVernay,2014,Carrie Rickey,Freelance film critic,US
The Social Network,David Fincher,2010,Carrie Rickey,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Sam Rigby,BBC Culture,UK
Brokeback Mountain,Ang Lee,2005,Sam Rigby,BBC Culture,UK
The Dark Knight,Christopher Nolan,2008,Sam Rigby,BBC Culture,UK
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,Sam Rigby,BBC Culture,UK
Whiplash,Damien Chazelle,2014,Sam Rigby,BBC Culture,UK
Shame,Steve McQueen,2011,Sam Rigby,BBC Culture,UK
Revolutionary Road,Sam Mendes,2008,Sam Rigby,BBC Culture,UK
Inside Llewyn Davis,Joel and Ethan Coen,2013,Sam Rigby,BBC Culture,UK
